idx	X	Y	component
0	1000	1000	0
1	1000.775379177735	1000.962433797534	0
2	1000.76877343504	1000.932760974515	0
3	1000.809278747925	1001.02877123558	0
4	1000.78433432469	1000.989249028801	0
5	1000.867572581877	1002.176096514545	0
6	1000.866949031646	1002.175677566845	0
7	1004.367135575326	1011.629504159439	0
8	1004.367711771871	1011.629424203465	0
9	1004.558194348211	1012.624199219741	0
10	1004.367135576176	1011.629504158913	0
11	1004.558316325298	1012.62440195607	0
12	1004.558247300661	1012.624326663951	0
13	1018.933975114934	1042.704747420553	0
14	1018.934047373229	1042.70493030641	0
15	1019.52616806566	1044.647247256829	0
16	1018.934512359108	1042.704803919703	0
17	1019.525159004009	1044.646233647289	0
18	1019.525244833085	1044.646400914362	0
19	1020.020108199375	1045.531421333552	0
20	1019.527444646472	1044.647826611771	0
21	1020.019594046447	1045.532529215934	0
22	1020.019513056174	1045.532331096331	0
23	1021.76464894827	1049.21569595253	0
24	1021.764338380017	1049.215344867885	0
25	1022.164005888005	1050.144358011469	0
26	1021.763961515962	1049.215199538379	0
27	1022.164887697993	1050.144913204971	0
28	1022.164187507253	1050.144581291703	0
29	1023.069593171182	1051.959661187914	0
30	1022.165006546014	1050.145130664129	0
31	1023.068521521329	1051.959648673171	0
32	1023.068575716275	1051.959723944295	0
33	1023.94785217658	1053.793180518207	0
34	1023.94811376823	1053.793383223139	0
35	1024.457618261668	1054.684606398361	0
36	1023.947310653036	1053.793030881281	0
37	1024.451158629045	1054.678916647053	0
38	1024.45085457659	1054.678739622557	0
39	1029.556138777422	1063.495152819376	0
40	1029.556403270301	1063.49519677696	0
41	1030.030610418507	1064.411532450589	0
42	1029.559749934309	1063.497420666885	0
43	1030.030460331078	1064.411837004402	0
44	1030.029239959899	1064.410808532315	0
45	1030.622214844168	1065.242427908934	0
46	1030.031800371961	1064.412306489157	0
47	1030.620985469253	1065.242553969239	0
48	1030.622286064511	1065.242532383807	0
49	1033.867056052307	1070.44020065386	0
50	1033.866917204515	1070.440102591624	0
51	1035.252380419309	1073.195751099142	0
52	1033.866884505607	1070.440261925735	0
53	1035.251888188613	1073.195958182773	0
54	1035.252380418851	1073.195751098253	0
55	1035.872597022816	1074.01393054517	0
56	1035.872985933711	1074.014635261441	0
57	1036.408018997722	1074.880377725859	0
58	1035.873792400172	1074.0145640483	0
59	1036.406218971953	1074.879408414032	0
60	1035.872067167319	1074.013498381025	0
61	1036.405257718711	1074.879148255305	0
62	1036.406772219691	1074.879730113548	0
63	1037.08912064823	1075.653492820566	0
64	1037.089045698551	1075.653650970847	0
65	1038.295831649417	1077.298943765857	0
66	1037.088203742478	1075.652633593516	0
67	1037.851811861128	1076.349873381433	0
68	1037.840666417537	1076.351600217445	0
69	1038.295344712189	1077.298389528856	0
70	1037.852817923599	1076.350331394999	0
71	1038.295873626987	1077.299003798721	0
72	1038.296039648879	1077.299245716614	0
73	1041.315647478369	1081.441922663549	0
74	1041.315789644607	1081.442281714878	0
75	1041.873252551869	1082.301007742199	0
76	1041.315731560107	1081.442179723847	0
77	1041.87253742002	1082.30034225023	0
78	1041.873155828193	1082.300877164374	0
79	1051.706395737841	1095.57617018592	0
80	1051.70632028918	1095.575479557468	0
81	1052.240561370636	1096.448749199728	0
82	1051.7045030046	1095.573629271195	0
83	1052.242481308612	1096.448673370717	0
84	1052.240518915235	1096.448668783908	0
85	1052.947502217897	1098.553724585571	0
86	1052.940240363518	1098.545497533127	0
87	1052.99066708586	1098.644346968523	0
88	1052.964675428208	1098.587126555567	0
89	1058.149921264388	1107.670277577203	0
90	1058.149871487358	1107.669134100169	0
91	1058.513551815173	1108.620163149363	0
92	1058.514310859764	1108.621960627373	0
93	1059.116425526391	1109.472538832872	0
94	1058.150038441378	1107.67026208183	0
95	1058.517851250469	1108.627395510835	0
96	1058.517958360561	1108.627818560632	0
97	1059.116360757237	1109.472436265758	0
98	1059.116669112654	1109.47272795631	0
99	1062.155819375344	1113.657217936178	0
100	1062.157882697168	1113.659101878577	0
101	1063.29121173478	1115.392871865655	0
102	1063.29174852152	1115.393264389283	0
103	1063.687277845387	1116.348019783381	0
104	1063.291991156433	1115.393655228356	0
105	1063.690435584876	1116.349891331953	0
106	1063.686902936797	1116.348861911141	0
107	1064.74272226039	1118.15032491712	0
108	1064.740274239752	1118.146864522627	0
109	1065.392003300812	1118.983630335764	0
110	1064.74205708957	1118.149009763454	0
111	1065.393183964209	1118.985371447262	0
112	1065.393668316131	1118.985978700506	0
113	1066.764202256475	1120.830836958634	0
114	1066.747091513826	1120.804055870417	0
115	1066.781111907725	1120.858223777112	0
116	1066.764315040617	1120.830989922263	0
117	1069.065950759951	1124.645775012172	0
118	1069.064851731391	1124.64427298949	0
119	1069.33111627214	1125.655794325176	0
120	1069.063760616664	1124.642498569545	0
121	1069.331084604583	1125.655678084197	0
122	1069.331205231995	1125.655916915129	0
123	1075.90957948399	1134.89873337655	0
124	1075.909809445198	1134.898930368809	0
125	1076.531320666359	1135.712642935649	0
126	1076.531456900506	1135.712852689718	0
127	1077.804873007646	1137.332164959901	0
128	1075.909260040356	1134.898268249713	0
129	1076.531020711306	1135.711334614948	0
130	1076.528871865284	1135.710820988428	0
131	1077.8026993205	1137.329998203452	0
132	1077.804499951403	1137.331553631798	0
133	1078.413979998129	1138.145803592976	0
134	1077.805057288268	1137.332644716894	0
135	1078.426490255398	1138.148076372327	0
136	1078.415313336982	1138.146870686395	0
137	1079.0317846362	1138.984945926177	0
138	1079.030178665867	1138.984890337928	0
139	1079.683710915685	1139.779434481979	0
140	1079.030000698067	1138.98444120765	0
141	1079.683082343963	1139.779955760587	0
142	1079.028939439556	1138.983997610192	0
143	1079.675667842609	1139.775920993765	0
144	1079.681375818438	1139.779764052293	0
145	1085.860461445857	1146.730167965471	0
146	1085.860651370224	1146.730563362695	0
147	1086.43617736734	1147.601929016455	0
148	1085.860461446387	1146.73016796632	0
149	1086.436813217892	1147.602153834494	0
150	1086.436378532929	1147.602112078955	0
151	1091.39995153276	1152.896755833348	0
152	1091.401534092823	1152.897621750966	0
153	1092.078974177781	1153.69252407724	0
154	1091.402123349373	1152.89728725018	0
155	1092.078197731438	1153.691778151107	0
156	1092.079085808185	1153.692652024524	0
157	1105.183151587516	1166.007161350495	0
158	1105.183151586936	1166.007161349681	0
159	1105.208777363032	1166.041522379325	0
160	1105.208886950936	1166.041596664684	0
161	1106.714512819899	1167.863870772258	0
162	1106.710460788021	1167.858857020627	0
163	1107.155583978627	1168.799448582591	0
164	1106.710457938037	1167.859036264975	0
165	1107.156767829321	1168.801787225497	0
166	1107.157461071164	1168.800580717103	0
167	1109.140109548895	1171.212300528065	0
168	1109.139680085603	1171.211842958597	0
169	1109.672646951285	1172.100694868603	0
170	1109.140384742139	1171.21249109069	0
171	1109.67258917885	1172.100568020508	0
172	1109.675358319362	1172.10192621127	0
173	1126.776376234981	1185.639085008998	0
174	1126.775869648419	1185.63874703778	0
175	1127.514536916814	1186.343452061878	0
176	1126.77707788228	1185.639834769513	0
177	1127.51614307886	1186.344271025362	0
178	1127.515079408786	1186.343782787558	0
179	1132.549439200294	1191.475599357524	0
