idx	X	Y	component
0	1000	1223.723965338793	0
1	1000.334351768109	1222.408460060971	0
2	1000.297121140332	1222.435690585348	0
3	1000.360793837629	1222.381706292107	0
4	1000.341549697799	1222.407806791657	0
5	1001.444884753554	1221.930853915571	0
6	1001.445433492145	1221.930222349395	0
7	1010.437619685731	1217.218585529908	0
8	1010.433776719075	1217.219495004872	0
9	1011.361329366358	1216.786440985083	0
10	1010.435828610862	1217.218866515714	0
11	1011.362025931488	1216.786403202397	0
12	1011.361551192073	1216.786595635238	0
13	1042.186792515015	1203.723556045358	0
14	1042.186632889282	1203.723525097684	0
15	1043.959795195293	1202.71926400806	0
16	1043.959577603245	1202.719087966606	0
17	1044.914960248147	1202.392150776896	0
18	1042.185848585615	1203.723534758332	0
19	1043.958465469382	1202.719124647844	0
20	1043.959835584682	1202.719231074638	0
21	1044.914823693462	1202.392275992026	0
22	1044.91496418138	1202.392146629011	0
23	1048.698084839263	1200.889765288311	0
24	1048.697818700113	1200.889609711263	0
25	1049.635140196983	1200.525419033491	0
26	1048.699658857003	1200.889852892816	0
27	1049.633960181027	1200.525605103035	0
28	1049.636113623863	1200.524912907583	0
29	1051.525126350428	1199.753179902792	0
30	1049.635341017954	1200.525369090916	0
31	1051.525025624996	1199.752969147713	0
32	1051.524778576902	1199.752928507389	0
33	1053.451179871388	1199.134847760567	0
34	1053.453264059979	1199.135350130194	0
35	1054.435591384703	1198.865250445246	0
36	1053.44987237318	1199.135479642871	0
37	1054.430551404678	1198.865253712648	0
38	1054.434102149719	1198.865236835731	0
39	1064.361026498088	1196.457060183795	0
40	1064.364581563311	1196.457151241767	0
41	1065.348644023007	1196.174435333694	0
42	1064.361960915519	1196.456767308404	0
43	1065.349366628894	1196.174092933794	0
44	1065.35000849427	1196.174693898814	0
45	1066.344295369897	1195.948419437153	0
46	1065.351031552998	1196.174636342739	0
47	1066.343688317179	1195.948538136926	0
48	1066.343688318178	1195.948538136859	0
49	1072.43281399578	1195.142224598091	0
50	1072.432539904057	1195.142207252299	0
51	1075.418256998904	1194.544408611734	0
52	1072.43416276991	1195.142256890134	0
53	1075.418454380621	1194.544384464189	0
54	1075.419322959287	1194.544292581059	0
55	1076.4366021673	1194.401492882753	0
56	1076.43640766864	1194.401523850878	0
57	1077.408323954503	1194.087400052839	0
58	1076.434157431719	1194.400988363945	0
59	1077.405586764866	1194.087464309787	0
60	1076.442886267645	1194.401363386641	0
61	1077.409326470425	1194.087969487165	0
62	1077.409286930647	1194.087985751732	0
63	1078.419606478707	1193.894562987239	0
64	1078.418597483998	1193.894242380046	0
65	1080.400641773576	1193.413583970849	0
66	1078.418713557889	1193.894878411411	0
67	1079.44320586396	1193.880509249136	0
68	1079.444578528908	1193.884116326433	0
69	1080.399668614402	1193.413543518318	0
70	1079.444179152458	1193.880622119483	0
71	1080.400870116478	1193.414188352994	0
72	1080.398729147727	1193.41323589522	0
73	1085.489527351829	1192.692601794617	0
74	1085.490515418757	1192.691934251241	0
75	1086.504546037719	1192.534253221977	0
76	1085.489425242293	1192.692368324093	0
77	1086.502289608676	1192.534028909907	0
78	1086.504389661974	1192.534279816383	0
79	1102.777788444807	1189.767327061063	0
80	1102.778079720808	1189.766565724897	0
81	1103.771279275489	1189.517718764322	0
82	1102.777884331894	1189.76739274632	0
83	1103.772209100577	1189.518612689257	0
84	1103.772109584035	1189.517806550602	0
85	1105.836829617804	1188.684509211056	0
86	1105.835956305188	1188.684175605843	0
87	1105.877094853068	1188.672427837962	0
88	1105.873730266312	1188.67587733077	0
89	1115.997054933091	1186.062315236139	0
90	1115.994688211336	1186.062266495874	0
91	1116.860506620431	1185.51334135824	0
92	1116.859555678621	1185.513541430852	0
93	1117.864406437645	1185.259530478598	0
94	1115.999264267472	1186.062140420304	0
95	1116.862102872842	1185.512714452991	0
96	1116.860294501494	1185.513416209297	0
97	1117.866079076695	1185.259702538455	0
98	1117.861816618586	1185.258740988447	0
99	1122.84486971724	1183.879137639284	0
100	1122.848375561408	1183.878974489627	0
101	1124.777772853548	1183.164372377519	0
102	1124.778992260218	1183.163510272146	0
103	1125.730063795115	1182.78392261726	0
104	1124.778138965907	1183.164315636674	0
105	1125.727546171395	1182.783483305334	0
106	1125.730322404267	1182.783816392365	0
107	1127.580586956399	1181.82782618906	0
108	1127.577551325728	1181.828408269871	0
109	1128.546351359653	1181.443518134306	0
110	1127.580332087497	1181.827651016454	0
111	1128.548050329621	1181.442096807788	0
112	1128.546530621609	1181.443432814342	0
113	1130.792515508448	1181.018804386393	0
114	1130.801986396683	1181.01642438416	0
115	1130.85572462069	1180.999960080195	0
116	1130.855108505813	1181.000081255735	0
117	1134.940675558243	1179.380628886039	0
118	1134.940991927648	1179.379760307477	0
119	1135.8459987241	1178.881606838651	0
120	1134.939029866036	1179.380021335013	0
121	1135.841297218791	1178.883072303254	0
122	1135.846491719616	1178.881669523666	0
123	1146.446208234274	1174.917381032481	0
124	1146.445149503629	1174.917019362705	0
125	1147.394505085926	1174.53508098263	0
126	1147.395936313532	1174.534207193987	0
127	1149.389076573713	1173.994376193529	0
128	1146.445329112763	1174.916855655549	0
129	1147.392759288236	1174.535637891037	0
130	1147.39370765293	1174.535154282297	0
131	1149.385621775026	1173.994684411588	0
