idx	X	Y	component
0	1000	1012.646428208953	0
1	2335.436477081432	1017.421892733086	0
2	2335.44063758456	1017.434529419639	0
3	2335.427809743363	1017.39548809549	0
4	2335.43647891489	1017.421892734954	0
5	6250.020902079737	1023.426020144043	0
6	6250.016839165164	1023.433905289711	0
7	6249.970254148224	1023.458617111428	0
8	6249.970254149141	1023.458617111029	0
9	12066.69695943581	1000	0
10	1000	2040.251851942703	1
11	1001.99964332592	2040.286705759116	1
12	1001.999643324922	2040.286705759119	1
13	5861.889572414591	2027.635312390428	1
14	5861.878244740758	2027.652653237651	1
15	5861.890426972886	2027.62953182009	1
16	5861.8895856533	2027.635312361975	1
17	12787.9480598467	2023.557570803554	1
18	12787.94806454676	2023.557570639337	1
19	12788.93747605692	2023.701869141225	1
20	12787.94805961613	2023.557570802704	1
21	12788.93747452719	2023.701868863996	1
22	12788.93747635898	2023.701869275383	1
23	14405.83990026743	2029.651563980377	1
24	14405.84939229889	2029.662345481601	1
25	14405.83667865254	2029.646063808992	1
26	14405.84055761124	2029.652375046797	1
27	14405.09086883577	2028.712244182907	1
28	1000	3040.286705759118	2
29	1108.94003623505	3113.617644623675	2
30	1108.94000762366	3113.617644604067	2
31	1619.941564287088	3209.707390775723	2
32	1619.946800513495	3209.708205960286	2
33	1619.943999342398	3209.70758811752	2
34	1619.936651002445	3209.706617479091	2
35	5583.096419330042	3050.14716183496	2
36	5583.0938524503	3050.146873950201	2
37	5937.697648869711	3116.915984736894	2
38	5583.096420134574	3050.147161802527	2
39	5937.699038165232	3116.91602500236	2
40	5937.698412571739	3116.915979463183	2
41	6691.807437120897	3143.937220615804	2
42	6691.795744535393	3143.936157724013	2
43	6860.85967214535	3148.611810688524	2
44	6691.816051553658	3143.938208393263	2
45	6860.84540401851	3148.61145683308	2
46	6860.845404019507	3148.611456833107	2
47	6929.488016595107	3173.676285805082	2
48	6929.482326674221	3173.678733842172	2
49	6929.545913847574	3173.739804158237	2
50	6929.554821323127	3173.746334744819	2
51	8665.24531526713	3197.626607431618	2
52	8665.244021345174	3197.626574951651	2
53	8665.816729659477	3198.445841337601	2
54	8665.243849686223	3197.626571486535	2
55	8665.816884839493	3198.445848591386	2
56	8665.81753664861	3198.445863621173	2
57	15420.67295939931	3147.694134850472	2
58	15420.66785443301	3147.694770670832	2
59	15420.65568161721	3147.69636517001	2
60	15420.65075112792	3147.697001460228	2
61	16669.78034250693	3150.854698219178	2
62	16669.7803652274	3150.854698001657	2
63	16666.79397710627	3150.819343210566	2
64	1000	4214.804231772014	3
65	1722.030947611544	4212.109887670923	3
66	1722.030947185238	4212.109887737507	3
67	1722.968116060692	4211.760903788258	3
68	1722.030950335306	4212.109887787386	3
69	1722.968121235681	4211.760903706947	3
70	1722.968120571357	4211.760903846445	3
71	6331.061703410953	4221.439072885635	3
72	6331.061683456566	4221.439073133653	3
73	6332.007114234955	4221.76756515831	3
74	6331.061683412474	4221.439073180807	3
75	6332.007098364134	4221.767564644621	3
76	6332.007131003978	4221.767564963629	3
77	6496.114709903632	4219.52165519701	3
78	6496.114621235698	4219.521653553489	3
79	6497.034761710325	4219.913929185516	3
80	6496.114746088489	4219.521654197208	3
81	6497.0349591329	4219.913925820378	3
82	6497.034960291719	4219.913925806367	3
83	6918.793859791993	4214.938752899639	3
84	6918.788316894883	4214.938778254881	3
85	6918.856668889828	4214.938404815044	3
86	6918.871970853572	4214.938322230852	3
87	7040.765171526211	4214.718209117319	3
88	7040.764733113676	4214.718209440519	3
89	7042.682955904376	4214.166321181726	3
90	7040.76525368022	4214.718208968796	3
91	7042.683326866325	4214.166319190343	3
92	7042.682927584472	4214.16630362651	3
93	7077.719903295416	4213.213096537866	3
94	7077.720038731299	4213.213094774284	3
95	7078.719474288002	4213.261820808056	3
96	7077.720187580693	4213.213092553426	3
97	7078.719565205938	4213.261819289749	3
98	7078.719472616387	4213.261820692678	3
99	7086.712539869834	4213.729044471493	3
100	7086.712539264227	4213.729043811132	3
101	7087.700793359101	4213.886524895656	3
102	7086.712561330372	4213.729042932042	3
103	7087.700873520458	4213.886525387295	3
104	7087.700794730896	4213.886524895805	3
105	8109.895296992967	4209.784934034478	3
106	8109.895284750586	4209.784934112985	3
107	8110.82871435862	4210.143965100829	3
108	8109.895297985422	4209.784934030531	3
109	8110.82871178686	4210.14396486139	3
110	8110.828704435451	4210.143964302724	3
111	10372.04744037444	4215.862401495213	3
112	10372.04210420667	4215.864681694578	3
113	10372.07953019983	4215.850472658081	3
114	10372.04744107198	4215.862401503561	3
115	11834.90108469997	4213.270413782542	3
116	11834.90108288483	4213.27041381037	3
117	11835.89315524587	4213.145132770238	3
118	11834.90111378176	4213.270413773469	3
119	11835.89315784822	4213.145132777782	3
120	11835.89316113619	4213.145132748552	3
121	14571.0250080109	4209.708206088633	3
122	14571.0250099901	4209.708206067334	3
123	14572.01099162953	4209.875193434895	3
124	14571.02500742573	4209.708205960286	3
125	14572.01099291741	4209.875193510477	3
126	14572.01099198584	4209.875193354907	3
127	15735.96997931002	4221.651598218888	3
