idx	X	Y	component
0	1000	999.9999999999998	0
1	1000.853096860937	1000.864579370552	0
2	1000.828828033176	1000.84091697268	0
3	1000.863543531544	1000.876112501681	0
4	1000.860179910635	1000.873430549254	0
5	1001.556168930835	1001.737444449981	0
6	1001.558149952163	1001.73987072827	0
7	1009.278242788865	1008.256896156009	0
8	1009.276941729466	1008.255870863444	0
9	1009.875624649722	1009.070873222964	0
10	1009.278022101927	1008.256792944039	0
11	1009.876253680343	1009.071657020056	0
12	1009.875661281109	1009.070918854092	0
13	1037.396737937343	1028.085101536357	0
14	1037.397313728861	1028.08560407272	0
15	1038.875478068889	1029.466365855045	0
16	1038.875524077507	1029.466806732455	0
17	1039.43229324141	1030.313482354851	0
18	1037.396917752001	1028.085294951267	0
19	1038.871261047218	1029.464351735443	0
20	1038.87497731121	1029.466305367248	0
21	1039.432516216193	1030.313855989083	0
22	1039.432372325467	1030.313663706671	0
23	1042.07124603056	1033.415625969937	0
24	1042.070687862616	1033.41538096542	0
25	1042.638683916153	1034.256304722049	0
26	1042.071443929295	1033.415921756966	0
27	1042.649192920189	1034.253926991999	0
28	1042.640061913155	1034.25685567943	0
29	1043.784429516871	1035.937444168047	0
30	1042.640593600216	1034.256448790982	0
31	1043.783301898453	1035.936878421321	0
32	1043.783991723313	1035.937259113392	0
33	1044.927736849232	1037.621776541332	0
34	1044.928058267594	1037.622027872549	0
35	1045.468732763798	1038.477709965616	0
36	1044.924594572234	1037.620281065809	0
37	1045.465150632002	1038.475412966535	0
38	1045.468437342284	1038.477346511562	0
39	1051.381863093844	1046.746659036988	0
40	1051.382832099296	1046.747086412247	0
41	1051.797624888557	1047.665474388322	0
42	1051.7987969559	1047.665520162498	0
43	1052.148844929766	1048.63915371008	0
44	1051.382828053197	1046.746933902403	0
45	1051.798531749481	1047.666677863529	0
46	1051.798531749461	1047.666677862529	0
47	1052.148690335628	1048.639221775919	0
48	1052.150332212827	1048.640180266712	0
49	1056.221863341701	1053.26483783407	0
50	1056.222818361891	1053.265356481721	0
51	1058.119484722836	1055.674198724315	0
52	1056.221615449624	1053.264727648557	0
53	1058.118889874183	1055.673905767264	0
54	1058.118788737575	1055.674149815075	0
55	1058.618704883904	1056.564236966187	0
56	1058.620088142964	1056.565080755209	0
57	1059.133870386815	1057.448769793348	0
58	1058.614074469342	1056.561478526774	0
59	1059.132094880472	1057.447879711663	0
60	1058.618762578552	1056.564316382144	0
61	1059.134316038984	1057.449703670828	0
62	1059.132985849397	1057.449155789055	0
63	1059.831336355527	1058.226621673766	0
64	1059.833247855814	1058.227461878514	0
65	1060.875790237454	1059.977565318694	0
66	1059.835454670194	1058.227992750202	0
67	1060.476324219226	1059.031947614007	0
68	1060.476611584006	1059.032083624262	0
69	1060.877498351762	1059.978263816988	0
70	1060.476324220149	1059.031947614391	0
71	1060.876218710496	1059.97739348547	0
72	1060.875907521866	1059.977746739992	0
73	1063.77503370416	1064.197774041829	0
74	1063.775035244981	1064.19781433551	0
75	1064.444943031661	1064.982331993465	0
76	1063.775895192077	1064.198094216907	0
77	1064.444942829207	1064.98239682899	0
78	1064.445003417286	1064.982333922672	0
79	1073.671177274226	1078.592389970776	0
80	1073.670535928517	1078.59217148709	0
81	1074.337410391217	1079.359933498797	0
82	1073.670743794222	1078.591707221531	0
83	1074.336327037445	1079.357997635258	0
84	1074.337223341573	1079.359713427378	0
85	1075.819078039799	1081.038078197845	0
86	1075.788407298479	1081.010070649564	0
87	1075.855528903447	1081.076012259356	0
88	1075.828079714069	1081.046854982192	0
89	1082.971813142365	1088.527277406012	0
90	1082.971671425252	1088.527132331599	0
91	1083.692655729163	1089.267088375506	0
92	1083.693304127637	1089.266612971784	0
93	1084.240484182592	1090.155378805806	0
